Chameleon RevE Rebooted log parser v. 0.01 by NiTRo THe DeMoN

Binary log filename: logtest.bin
Log enabled: true
Log lenght: 29280
Total bytes wrote: 29296

00016/29296: [00000] R | IDLE        | 26
00022/29296: [00000] T | READY       | 04 00
00029/29296: [00020] R | IDLE        | 02
00035/29296: [00020] T | IDLE        | 
00040/29296: [00020] R | IDLE        | 00
00046/29296: [00020] T | IDLE        | 
00051/29296: [00138] R | IDLE        | 26
00057/29296: [00138] T | READY       | 04 00
00064/29296: [00160] R | IDLE        | 02
00070/29296: [00160] T | IDLE        | 
00075/29296: [00160] R | IDLE        | 00
00081/29296: [00160] T | IDLE        | 
00086/29296: [00285] R | IDLE        | 26
00092/29296: [00285] T | READY       | 04 00
00099/29296: [00306] R | IDLE        | 4A
00105/29296: [00306] T | IDLE        | 
00110/29296: [00006] R | IDLE        | 26
00116/29296: [00006] T | READY       | 04 00
00123/29296: [00007] R | READY       | 93 20
00130/29296: [00007] T | READY       | FF FF FF FF 00
00140/29296: [00009] R | READY       | 93 70 FF FF FF FF 00 27 D0
00154/29296: [00009] T | ACTIVE      | 08 B6 DD
00162/29296: [00022] R | ACTIVE      | 50 00 57 CD
00171/29296: [00022] T | HALT        | 
00176/29296: [00028] R | HALT        | 52
00182/29296: [00028] T | READY       | 04 00
00189/29296: [00029] R | READY       | 93 70 FF FF FF FF 00 27 D0
00203/29296: [00029] T | ACTIVE      | 08 B6 DD
00211/29296: [00037] R | ACTIVE      | 50 00 57 CD
00220/29296: [00037] T | HALT        | 
00225/29296: [00041] R | HALT        | 52
00231/29296: [00041] T | READY       | 04 00
00238/29296: [00043] R | READY       | 93 70 FF FF FF FF 00 27 D0
00252/29296: [00043] T | ACTIVE      | 08 B6 DD
00260/29296: [00050] R | ACTIVE      | 60 00 F5 7B
00269/29296: [00050] T | AUTHING     | 01 20 01 45
00278/29296: [00052] R | AUTHING     | FE 08 77 B3 4D F8 B2 7C
